,I1,I2,I3,P(IPO),P(H),P(L),P(1Day),C1,C2,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,S1,S2,S3,IndDivision,Manufacturing,Other,Services,Y1,Y2,C3x,C6x,C5x,T3x,T4x,T5x,S1x,S2x,S3x,income,perOffered,P/E,T5xbin,C6xbin,T3xbin,labels
20,BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS INC. ,8351,0.9743078971379244,0.9684119654572717,0.9675111255483393,0.9728224557472887,0.30619373972253217,1,0.5411953021126441,0.5281950054054488,0.9243619467915956,0.6529602476880139,0.892115194003128,0.5824042055954801,0.8082828513496807,0.7679240741340209,0.7422762473503615,0.674228650720306,0.4508390899164414,0.2567803393270136,0.9913419698116755,Services,0,0,1,0,1,1,0.916182216925958,0.955477871637027,0.0035492465496533704,0.9532038236024545,0.15069364328113932,0.16137059332630138,0.03311050448537045,0.943722596841523,0.8256165285906287,0.08969323434808174,0.7682003721021076,1,1,1,3
21,APEI,AMERICAN PUBLIC EDUCATION INC,8200,0.9326109105241738,0.8925618646180287,0.9381027094399069,0.9990151616732571,0.3152698148073971,1,0.549673596262639,0.24930239306827395,0.20295268274738032,0.18934515521117057,0.24357383290033846,0.39577909436302666,0.3364212758038576,0.3038210439102501,0.2938972880623273,0.3381668902673264,0.262652413021529,0.20385183267020623,0.20148705824567764,Services,0,0,1,0,1,1,0.8386316891271983,0.4374502741161733,0.5678774343498348,0.2547017178964128,0.606995174344135,0.3684707795186319,0.2106644423385699,0.24669773326442063,0.4550792184789985,0.5301080796229618,0.7682003721021076,3,1,3,0
22,ARCL,Archipelago Learning Inc.,8200,0.7590457904351324,0.7332216108767484,0.7323466349943977,0.6746643345993945,0.1763572165420078,1,0.5028663766614815,0.9440060433128459,0.3326481917547621,0.3041037156577653,0.2045441409304421,0.7332445978323138,0.8389548901322461,0.8461050362660575,0.72905521673832,0.8975602730921513,0.6906681037471235,0.30836322438543484,0.6598635899260772,Services,0,0,1,0,1,1,0.48365060438876684,0.5459302844879197,0.10703487609684781,0.6276136562796067,0.6338604273420558,0.3494531852778576,0.04218516737532496,0.18158912036082797,0.5012412960713877,0.425939652205674,0.7682003721021076,3,1,1,1
23,BPI,Bridgepoint Education Inc ,8200,0.25624419400154697,0.6231424902627405,0.6230702070315971,0.23308501675168075,0.4930522659204607,1,0.6911748147477146,0.9815494506780393,0.8298997445071958,0.8836421507212483,0.6188575919143012,0.5269945235909178,0.4959631991625291,0.4691859468912437,0.46923400126163345,0.4654951749627353,0.14146853896690947,0.7079249591500781,0.28731440915185547,Services,0,0,1,1,1,1,0.24609581891985172,0.5228771903754368,0.7981191320766958,0.49761169694200363,0.530746532765534,0.05453234566026183,0.8215550889614422,0.20966030370666316,0.6517783253585608,0.4470583499098036,0.6872006674413251,3,0,4,0
24,EDMC,EDUCATION MANAGEMENT Corp,8200,0.8514766452419682,0.93932226174891,0.9381027094399069,0.8198979514088847,0.7535511824418578,1,0.6797845113932766,0.35911389599798504,0.7787331980873476,0.9967647447602392,0.9337238047678116,0.7619325935959922,0.7203161075902877,0.7395292304456561,0.7519675906856309,0.6805604599307864,0.8436068618565054,0.8853618874682767,0.7671471194380256,Services,0,0,1,1,1,1,0.24609581891985172,0.9877348962864123,0.8652528032235967,0.594249657834748,0.4202652855346866,0.7530945806538223,0.8058224960538117,0.5779124530668744,0.9362461178920667,0.049672699781650065,0.8630666919846888,2,0,4,2
25,EEEE,EDUCATE INC,8200,0.29398357010096854,0.6231424902627405,0.6230702070315971,0.27705206610355526,0.6311401872427675,1,0.5833228877162845,0.6464072015421656,0.6668607852970814,0.9389915927715302,0.6420404541550321,0.5187959981393606,0.41834917486261824,0.4052146231048043,0.41345421132258,0.428873396781777,0.5813603455760737,0.2783285115900958,0.2523716434843998,Services,0,0,1,1,1,1,0.24609581891985172,0.23241591891644886,0.933231891402149,0.3386860607978661,0.6528811552718935,0.7747219090375443,0.2767894982479044,0.24458750840764892,0.7173195919702513,0.7672968464119441,0.9233762886985926,3,0,4,0
26,LINC,LINCOLN EDUCATIONAL SERVICES CORP,8200,0.9326109105241738,0.9684119654572717,0.9675111255483393,0.7480921418908993,0.24361854264085997,1,0.7277888579572012,0.37706629223115584,0.32556837850900566,0.14868489141250735,0.6584345787212718,0.47690233586539205,0.46366499540470824,0.40664966081872117,0.351842243675524,0.512969381562826,0.36586719756767533,0.2429129948071298,0.28731440915185547,Services,0,0,1,0,1,1,0.24609581891985172,0.9522063399421226,0.31909981316404523,0.25105531808099246,0.7550363325801863,0.41082808699789625,0.1780381253141975,0.24955697442314456,0.37988204256813063,0.0929851131297324,0.8212659102768043,4,0,2,1
27,NAUH,National American University Holdings Inc.,8200,0.5400544321170062,0.5610038712830748,0.5655192889177535,0.9402117384827401,0.7381693877048441,1,0.9707913962074626,0.48628222505611335,0.7783792284440636,0.8259092731053935,0.7853649005480019,0.106544883969308,0.18081313064017335,0.1501010468461213,0.16944823634813594,0.12971407018256642,0.2393850592996773,0.1977261551298502,0.5124526877457511,Services,0,0,1,1,1,1,0.24609581891985172,0.534109298910588,0.25520829700119063,0.6963670885798825,0.15316328410551827,0.5458113821523538,0.39308914301120534,0.9773002071874521,0.7336893110177497,0.43670570445709433,0.5083514671677396,1,0,1,3
28,BEAT,CardioNet Inc. ,8090,0.8514766452419682,0.93932226174891,0.9381027094399069,0.6133256968339932,0.9341144238290028,1,0.7348442188864763,0.06368546644426795,0.2964522885072731,0.17763036160079332,0.3662577668165714,0.6123427035182624,0.4280364447982096,0.3804245095409726,0.34437133851798096,0.38946617039505926,0.17681800526042724,0.5527323155218825,0.5711630751259433,Services,0,0,1,1,0,1,0.24609581891985172,0.818019588304655,0.4563518769465377,0.03777615254045455,0.4977237438129327,0.12512415379672315,0.7150210228565008,0.786333441487945,0.3856488339370494,0.20400131540856398,0.48811433644095187,3,0,2,1
29,IPCM,IPC Healthcare Inc. ,8090,0.7224223515606647,0.7332216108767484,0.7323466349943977,0.7630824658369573,0.7235811290432587,1,0.46026302049116047,0.23936915510967832,0.17316017274906265,0.2237129020977442,0.5873983621855536,0.296248187506138,0.36349460842702863,0.32264540128252284,0.34437133851798096,0.3610294865580336,0.1584974804525881,0.6123218922810875,0.2074898298874842,Services,0,0,1,0,1,0,0.24609581891985172,0.23464233652388755,0.4689903622570429,0.7547272918703337,0.601552561537093,0.1305721002510451,0.850975366806995,0.223837706352297,0.3981739697519143,0.7644143238826706,0.26819516583601805,3,0,2,1
