,I1,I2,I3,P(IPO),P(H),P(L),P(1Day),C1,C2,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,S1,S2,S3,Y1,Y2,C3x,C6x,C5x,T3x,T4x,T5x,S1x,S2x,S3x,income,perOffered,P/E,C6xbin,T5xbin,T3xbin,IndDivision,Manufacturing,Other,Services,labels
20,BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS INC. ,8351,0.7916666666666666,0.875,0.875,0.788418739777458,0.40924266468517606,1,0.5334645669291338,0.4856483548243485,0.6487405313999081,0.43572241183162685,0.7462504501432657,0.47249647390691113,0.6675520701576861,0.5769497307958846,0.5723014256619144,0.5129348795718108,0.417910447761194,0.25675675675675674,0.9068825910931174,0,1,1,0.5666666666666667,0.790450515647418,0.007424717784224271,0.8307993867616752,0.30937944345636353,0.30870567132964455,0.12627187055102362,0.7866719573076275,0.6760167743299034,0.26640221569019046,0.626279081482846,1,1,1,Services,0,0,1,1
21,APEI,AMERICAN PUBLIC EDUCATION INC,8200,0.7083333333333334,0.75,0.8125,1.0,0.41385446354255845,1,0.5374015748031495,0.342797747874811,0.14641081437026154,0.189419795221843,0.39476836546786637,0.37799717912552894,0.40509317817691204,0.32576363345594117,0.3319755600814664,0.33719892952720787,0.31343283582089554,0.22072072072072071,0.291497975708502,0,1,1,0.45945945945945943,0.44618169850683936,0.5429147770067029,0.3800555980794656,0.5514050156969176,0.43515926945852457,0.32184473115235784,0.3806662924592296,0.4163536336136127,0.5011505597267207,0.626279081482846,1,3,3,Services,0,0,1,0
22,ARCL,"Archipelago Learning, Inc.",8200,0.5625,0.625,0.625,0.5225501507869369,0.33339877063362083,1,0.515748031496063,0.7758883663984608,0.2347464519217359,0.2605233219567691,0.37100900909124307,0.5684062059238364,0.6984990302723669,0.6350018657710965,0.5641547861507128,0.6779661016949152,0.5447761194029851,0.2882882882882883,0.5303643724696356,0,1,1,0.17708333333333331,0.49673577012761794,0.2785652928715555,0.5562369439492956,0.5644988145509154,0.4253032394542719,0.147300760591303,0.3405600423812847,0.43984446074092926,0.45285588551601036,0.626279081482846,1,3,1,Services,0,0,1,1
23,BPI,Bridgepoint Education Inc ,8200,0.3125,0.5625,0.5625,0.3090200708660003,0.49703434744347547,1,0.6062992125984252,0.8709798105189823,0.5420596274518097,0.590443686006826,0.5761434820166086,0.44287729196050774,0.4755038367484611,0.41372141372141374,0.4256619144602851,0.4041034790365745,0.22388059701492538,0.5045045045045045,0.3441295546558704,1,1,1,0.0,0.4859865803058555,0.667091554612805,0.4948313634864434,0.5153598150128341,0.18987558300817572,0.6485722547794358,0.35874044427443885,0.5268724218651241,0.4625363672841947,0.5809103518637688,0,3,4,Services,0,0,1,0
24,EDMC,EDUCATION MANAGEMENT Corp,8200,0.625,0.8125,0.8125,0.6060690859996221,0.6232032520473846,1,0.6003937007874015,0.40316615594926497,0.5008636689112994,0.8862343572241184,0.7946719084784889,0.5909732016925247,0.5978581667931528,0.5587717895410204,0.5784114052953157,0.5165031222123104,0.6492537313432836,0.6396396396396397,0.5910931174089069,1,1,1,0.0,0.8920433377214403,0.7174591795830816,0.5398980175466801,0.4637332164602929,0.6327346423797261,0.6374561740529207,0.5382040173606715,0.8781880303685895,0.2235898945140262,0.6929329813647109,0,2,4,Services,0,0,1,0
25,EEEE,EDUCATE INC,8200,0.3333333333333333,0.5625,0.5625,0.3337973379969134,0.5602496310497572,1,0.5531496062992126,0.543923356014639,0.42623756926439826,0.658703071672355,0.5873163013688021,0.4386459802538787,0.4406779661016949,0.3809371501679194,0.3971486761710794,0.3853702051739518,0.48507462686567165,0.2702702702702703,0.32388663967611336,1,1,1,0.0,0.3399163271580034,0.791535990344336,0.4218875390667152,0.5739604402945279,0.646335651917325,0.3619346825318524,0.3794682834774429,0.5735644058182396,0.6326651108454422,0.7542904508895533,0,3,4,Services,0,0,1,0
26,LINC,LINCOLN EDUCATIONAL SERVICES CORP,8200,0.7083333333333334,0.875,0.875,0.561525643307125,0.3755003891552119,1,0.6259842519685039,0.4122700884475598,0.2304081986184075,0.15813424345847554,0.5953683942432797,0.41748942172073344,0.4607892739691374,0.3816834586065355,0.3645621181262729,0.4281891168599465,0.373134328358209,0.24774774774774774,0.3441295546558704,0,1,1,0.0,0.7841822682754633,0.42299449347036033,0.37812501422581946,0.6291020310807459,0.4565580141024229,0.29935824022956964,0.3822808143808447,0.3796608901920892,0.2693008863275189,0.6608660699595101,0,4,2,Services,0,0,1,1
27,NAUH,"National American University Holdings, Inc.",8200,0.451569423929099,0.5300744047619048,0.5321902901785714,0.7220146845979424,0.6145909151301829,1,0.8627460691243024,0.46555625344795687,0.5005996661627025,0.5410782356900997,0.6648837072363654,0.22284908321579688,0.3342187368243528,0.2203742203742204,0.2484725050916497,0.1935771632471008,0.29850746268656714,0.21621621621621623,0.4574898785425101,1,1,1,0.0,0.4912171769297777,0.3878386098005116,0.5921427971561501,0.3113273149142496,0.5225027496992722,0.42274384643893853,0.8606836773766943,0.5865833032007804,0.4577889462370927,0.4940567527639351,0,1,1,Services,0,0,1,1
28,BEAT,"CardioNet, Inc. ",8090,0.625,0.8125,0.8125,0.4927617389129728,0.7706041123140622,1,0.6299212598425197,0.18074956972097664,0.2121322813057562,0.18088737201365188,0.45897788625298586,0.4894217207334274,0.4449363352727886,0.36793006023775254,0.3604887983706721,0.3648528099910794,0.2537313432835821,0.4189189189189189,0.48582995951417,1,0,1,0.0,0.6435783850409083,0.49043452712112645,0.20189049246561697,0.4999935179536748,0.27754305469754775,0.5816912015354867,0.6449374081912157,0.38243094441414033,0.3444914804881301,0.4845912238261077,0,3,2,Services,0,0,1,1
29,IPCM,"IPC Healthcare, Inc. ",8090,0.5416666666666666,0.625,0.625,0.5701559182456941,0.6066598747302576,1,0.49606299212598426,0.33674928663564896,0.1218879982256457,0.21274175199089876,0.5612993258889986,0.3300423131170663,0.4168142339151699,0.33647849032464416,0.3604887983706721,0.3496877787689563,0.23880597014925373,0.45045045045045046,0.29554655870445345,0,1,0,0.0,0.3412635190596214,0.49638588460891303,0.6262457065743738,0.5487847278205028,0.28258924050597606,0.6711663965819308,0.3673734287307562,0.3884654954445673,0.630658534737783,0.3743584858804669,0,3,2,Services,0,0,1,1
