,I1,I2,I3,P(IPO),P(H),P(L),P(1Day),C1,C2,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,S1,S2,S3,Y1,Y2,C3x,C6x,C5x,T3x,T4x,T5x,S1x,S2x,S3x,income,perOffered,P/E,C6xbin,T5xbin,T3xbin,IndDivision,Manufacturing,Other,Services,labels
20,BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS INC. ,8351,0.9510471258608455,0.8970220114901042,0.90934878331524,0.5746286188989691,0.3578338657592368,1,0.524839434440955,0.538327066269371,0.6279907752865925,0.45887379255410154,0.8738536062949036,0.5126079038973224,0.7699140176990006,0.7136776727839287,0.697267266445827,0.6030396277918464,0.42531108928540556,0.27787367133873037,0.9670851505332375,0,1,1,0.7410445918771054,0.7629028492225128,0.2620782488978315,0.9597762504259021,0.4535807131703443,0.1757303986791086,0.04495829934577522,0.9037656539367664,0.6955275080663197,0.1585837046062452,0.9288951004987837,1,1,1,Services,0,0,1,0
21,APEI,AMERICAN PUBLIC EDUCATION INC,8200,0.8957290621392622,0.7946705017335818,0.8645050131783711,0.6660442386137958,0.36407582844233777,1,0.5250167189223374,0.2704457119939038,0.3006497663056155,0.2955015090182446,0.291275864839425,0.3483307444204363,0.30256698340884036,0.3040937395186525,0.2950928462938356,0.337604172347297,0.2737327674891195,0.2398374820309554,0.2194679318552104,0,1,1,0.6595606196689421,0.4059715395653545,0.5067083284344782,0.2534899611674556,0.49211207789905526,0.36674400311281036,0.22098636668371507,0.2605281678726309,0.38330756462220195,0.48738514019273643,0.8747984225904287,1,3,3,Services,0,0,1,1
22,ARCL,Archipelago Learning Inc.,8200,0.7129239420010742,0.6482889528458784,0.6527943644843424,0.45443247635268275,0.26160806961577565,1,0.5240415939185558,0.9374945613487516,0.35449153710485604,0.3401469304935399,0.25328029073967184,0.6770043997889964,0.8123563667213672,0.7918989159880288,0.6846671378437426,0.8159453546199662,0.623035901084704,0.3134051697837772,0.5950238432130652,0,1,1,0.41741460530936186,0.4610097500321304,0.3798319718351419,0.6099108312566192,0.49420201500825106,0.3495357676761961,0.05522591475984499,0.20218199132997472,0.41150567976724567,0.4086923492286122,0.9997833467952704,1,3,1,Services,0,0,1,0
23,BPI,Bridgepoint Education Inc ,8200,0.26415914141405994,0.5634375117896849,0.5623404408289218,0.3603460429904105,0.4812852300011445,1,0.5281183644025649,0.9775271205696934,0.5581252683314756,0.5672695916369596,0.6273071860599931,0.459979872485626,0.42850197844340243,0.44607213324228123,0.44937226994935725,0.43642535287018946,0.1695952338368537,0.5869524066238594,0.2910012129426115,1,1,1,0.275191847760374,0.4492072833724362,0.5668738167814911,0.4802781389154998,0.4863600960841519,0.06845673470603617,0.7822307240317936,0.2276051633638838,0.5188480425763123,0.4242767737884585,0.5491951104181724,0,3,4,Services,0,0,1,1
24,EDMC,EDUCATION MANAGEMENT Corp,8200,0.8051268630654369,0.8516992784473074,0.8645050131783711,0.49226107656645285,0.9961917643572399,1,0.5278525732017645,0.3773686844190388,0.9600654582083906,0.7551424531616011,0.9159343292211186,0.7122536875481889,0.6573164314973329,0.686598965576444,0.7065666415268208,0.608355165624335,0.7662956202761042,0.745668452946176,0.690901022128291,1,1,1,0.275191847760374,0.8406356264171205,0.5909204372109239,0.5759986459526784,0.47812692309549526,0.7201647778857476,0.7664058278600936,0.5449804603370371,0.8730611172941706,0.11960628401543433,0.6120583218604708,0,2,4,Services,0,0,1,1
25,EEEE,EDUCATE INC,8200,0.29764065132294953,0.5634375117896849,0.5623404408289218,0.37095322897784544,0.5720383494339636,1,0.5257258069665447,0.6498501010396283,0.48023973365567374,0.6139905330871512,0.6475048508705292,0.4524971113549624,0.36437258140165585,0.3912217731867673,0.40035371655912766,0.4080551408433479,0.5308187523208663,0.29285990893853553,0.2622464830067531,1,1,1,0.275191847760374,0.2972712631844775,0.6256492431752316,0.33006579640453715,0.49571231337171673,0.7411602465501133,0.28134559329957937,0.2586680497431133,0.5763734639532131,0.695344751613904,0.6453900648697981,0,3,4,Services,0,0,1,1
26,LINC,LINCOLN EDUCATIONAL SERVICES CORP,8200,0.8957290621392622,0.8970220114901042,0.90934878331524,0.4720553965997232,0.3134064256531951,1,0.5290042439731585,0.3946199358964903,0.35176674322534907,0.27674977505242954,0.6618111250450344,0.41538777004820054,0.4010681352977227,0.3924509395110606,0.3462372163790609,0.4733670407765604,0.35739653677550887,0.2680953066959502,0.2910012129426115,0,1,1,0.275191847760374,0.7575079874929864,0.44844468192189474,0.25019479063106065,0.5045147398730943,0.4049971391694289,0.19066532615909043,0.26304584588269286,0.3405225269969646,0.16149439971556478,0.5942858387545842,0,4,2,Services,0,0,1,0
27,NAUH,National American University Holdings Inc.,8200,0.5130822785110872,0.5179566481531963,0.5169383312742295,0.5448191533558311,0.6472790712792684,1,0.5396466627003688,0.49867678915840624,0.5303459678183592,0.5328435088514413,0.7741360083504772,0.13968251376206858,0.19597316937545428,0.16740717286605472,0.1826855978838371,0.16479564659182855,0.2544356390221152,0.23529101072580672,0.4724890351790557,1,1,1,0.275191847760374,0.45494545252367036,0.25857392605705964,0.6812496116289711,0.4538895710576413,0.5270714260342783,0.38566830792505413,0.9513286071016417,0.5921794814669751,0.416617592141148,0.4995032858493369,0,1,1,Services,0,0,1,0
28,BEAT,CardioNet Inc. ,8090,0.8051268630654369,0.8516992784473074,0.8645050131783711,0.4410219059133247,0.8268783177305696,1,0.5492429201563488,0.07864332999072159,0.3403727321680955,0.2903297652150328,0.40512106002440645,0.5426413351780316,0.3720520493994838,0.36998356198333937,0.33966310052998594,0.37753209733783233,0.20110014043553442,0.4761894477537597,0.5204756520391172,1,0,1,0.275191847760374,0.6212820740233584,0.48115465751125736,0.05296120292561714,0.48390878270023735,0.14063532098575804,0.6782274626158319,0.733788303334351,0.3436897861482989,0.24886466362049814,0.4940742999169844,0,3,2,Services,0,0,1,0
29,IPCM,IPC Healthcare Inc. ,8090,0.6781637506662006,0.6482889528458784,0.6527943644843424,0.4759662453465286,0.636574619511031,1,0.5231549915252146,0.0011669781161262212,0.28638297600780105,0.3098492031599037,0.5999306361088425,0.2730229107608942,0.3224141503304644,0.3203471316208986,0.33966310052998594,0.35544196806801953,0.18493095663986997,0.5172404903268013,0.22458578608746477,0,1,0,0.275191847760374,0.2985646113197472,0.4840505593133625,0.743334223048388,0.4916938707349107,0.1459702021635807,0.8124175592090348,0.24028088179878015,0.3506274956668989,0.6924398023893819,0.0029451063566343547,0,3,2,Services,0,0,1,0
